Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
Fuaamotu,18,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Breakfast,Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Home,Driving (drop relatives),Driving (drop relatives),Driving (drop relatives),Driving (drop relatives),Driving (drop relatives),Driving (drop relatives),Driving (drop relatives),Reading,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Family devotion,,,,,,,,,,,,,,,,,,,,,,,,,Dinner,,,,,,,,,,,,,,,,
Fuaamotu,20,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Rest,Rest,Cooking,Cooking,Cooking,Dinner,Dinner,"TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile devises (browsing, social media)",,,,,,,,,,
Fuaamotu,23,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Breakfast,Driving (work),Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Light meal/snack,Tidy up,"Family time (chatting, games etc)",Showering,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Dinner,"TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Showering,Driving (work),,,,,,,,,,,,,,,,,,,,,,,,,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",,,,,,,,,,,,
Fuaamotu,24,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Home,Cooking,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Family devotion,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Family devotion,,,,,,,,,,,,,,,,,,,,,,Feeding animals,,,,,,,,,,,,,,,,,,
Tuatakilangi,87,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Cooking,Ironing,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Rest,Cooking,Cooking,Dinner,Dinner,Family devotion,Rest,Tidy up,Tidy up,Reading,Reading,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Listen to music/radio,Listen to music/radio,Breakfast,Getting dressed,Driving (public transport hub),,,,,,,,,,,,,,,,,,Home,,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,
Halaovave,33,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Family devotion,Showering,Getting dressed,Breakfast,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Cooking,Dinner,Dinner,Showering,Gardening,Gardening,Family devotion,"Family time (chatting, games etc)",Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,Tidy up,,,,,Driving (work),,,,,,,,,,,,,,,,,,Cooking,Tidy up,Tidy up,Tidy up,,,,,,,,,,,,,,,,
Umusi,89,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Getting dressed,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Public transport (home),Public transport (home),Home,Cooking,Showering,Showering,Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Family devotion,"Mobile devises (browsing, social media)",Public transport (work),,,,,,,,,,,,,,,,,,,,,Feeding animals,,,,"Mobile devises (browsing, social media)",,Light meal/snack,"Family time (chatting, games etc)","Family time (chatting, games etc)",,,,,,,,
Ma'ufanga,66,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Dinner,Dinner,Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,"Mobile devises (browsing, social media)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma'ufanga,64,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Cooking,Cooking,Cooking (lunch),Ironing,Tidy up,Breakfast,Getting dressed,Feeding animals,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Home,Cooking,Driving (church),Driving (church),Driving (church),Dinner,Dinner,"TV (TV, movies)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,Work,,,,,,,,,,,,,Tidy up,,,,,,,,,,,,,,,,,,,,
Fangaloto,4,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (drop relatives),Driving (drop relatives),Driving (free time),Driving (free time),Home,Public transport (school),School,School,School,School,School,School,School,School,Public transport (home),Public transport (home),Home,Light meal/snack,Tidy up,Tidy up,Tidy up,Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,Breakfast,,,,,Getting dressed,,,,,,,,,,,,Rest,,,,,,,,Mobile devices (games),,,Mobile device (movies),,"Mobile devises (browsing, social media)",,,,,,,
Vaini,90,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Getting dressed,Public transport (School),School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,Public transport (home),Public transport (home),Public transport (home),Home,Rest,Rest,Studying,Studying,Studying,Studying,Studying,Studying,Studying,Studying,Studying,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light meal/snack,,,,,,,,,,,,,,,,,,
Vaini,91,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Cooking,Driving (drop kids),Driving (drop kids),Driving (drop kids),Driving (drop kids),Home,Tidy up,Tidy up,Tidy up,Lunch,Lunch,Cooking,Cooking,Cooking,Cooking,Driving (pick up kids),Driving (pick up kids),Driving (pick up kids),Home,Rest,Rest,Rest,Cooking,Cooking,Cooking,Cooking,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Ironing,,Getting dressed (kids),,,,,Tidy up,,,,Listen to music/radio,Listen to music/radio,,,,,,,,Rest,,,,,,,,,,,,,,,,,,,
Vaini,92,Wednesday,Sleeping,Sleeping,Sleeping,Woke up,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (gym),Home,Getting dressed,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Home,Rest,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Showering,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,Showering,,,,,,Showering,Public transport (work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaini,95,Monday,Sleeping,Sleeping,Sleeping,Woke up,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (home),Breakfast,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Rest,Rest,"TV (TV, movies)","TV (TV, movies)",Dinner,Showering,"TV (TV, movies)","TV (TV, movies)",Kids bedtime,Kids bedtime,Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,Showering,,,,,,,Getting dressed,Work,,,,,,,,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,
Vaini,96,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Cooking,Driving (church),Home,Church (social activities),Church (social activities),Church (social activities),Church (social activities),Church (social activities),Church (social activities),Church (social activities),Home,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,Listen to music/radio,,"TV (TV, movies)",,,,,,,,"Family time (chatting, games etc)",,,,,,,,
Malapo,68,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Showering,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Rest,Rest,"Exercise (Jog, walk)","Exercise (Jog, walk)",Showering,Family devotion,Dinner,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,Ironing,,,,,,,,,,,,,,,,,,,,,,Driving (home),,,,,,,,,,,,,,,,,,,,
Veitongo,99,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Cooking,Cooking,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,,,,,,,
Ha'ateiho,27,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Feeding animals,Cooking,Cooking,Dinner,Dinner,Homework (kids),Homework (kids),"TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Feeding animals,Breakfast,Driving (drop kids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ha'ateiho,29,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Tidy up,Tidy up,Showering,Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava),Walking (Kava)
,,,,,,,,,,,Ironing,,Driving (work),,,,,,,,,,,,,,,,,,,,,,,Dinner,,,,,,,,,,,,,,
Fangaloto,5,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Showering,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,"TV (TV, movies)",Dinner,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Showering,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,"TV (TV, movies)",,,,,,,,Getting dressed,,,,,,,,,,,
Fuaamotu,19,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking (business),Cooking (business),Cooking (business),Driving (work),Driving (drop kids),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (pick up kids),Home,Dinner,Family devotion,Homework (kids),Homework (kids),Reading,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,Reading,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,Cooking,,,,,,,,,,,,,
