Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
Havelu,37,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Public transport (work),Public transport (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Public transport (home),Rest,"Mobile devises (browsing, social media)",Dinner,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (gym),Home,Family devotion,Family devotion,Family devotion,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Ironing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Showering,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Mobile device (movies),Mobile device (movies),,,,,,
Hofoa,40,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking (lunch),Getting dressed (kids),Breakfast,Driving (drop kids),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Cooking,Tidy up,Showering (kids),Dinner,Homework (kids),Laundry,Tidy up,Tidy up,Tidy up,Tidy up,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking (lunch),Tidy up,,,Driving (work),,,,,,,,,,,,,,,,,,,,,,,,,Laundry,,,,,,,,,,,,
Houma,41,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Breakfast,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (gym),Driving (gym),Driving (gym),Driving (home),Home,Dinner,Homework (kids),Homework (kids),Rest,Rest,Rest,Rest,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking,,,,Driving (drop kids),,,,,,,,,,,,,,,,,,,,,,Showering,,,,,,,,,,,,,,,
Houmakelikao,43,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Driving (farm),Driving (farm),Driving (farm),Home,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,Cooking,,,,"TV (TV, movies)",,,,,,,,,,,,,,,
Fasi,10,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Walking (work),Rest,Cooking,Cooking,Cooking,Dinner,Dinner,Tidy up,Tidy up,Showering,Showering,Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,,,Work,,,,,,,,,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,
Mailetaha,67,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Sleeping,Cooking,Breakfast,Walking (work),Walking (work),Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Walking (home),Walking (home),Cooking,Cooking,Cooking,Dinner,Dinner,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,Ironing,,,,,,,,,,,,,,,,,,,,,,,Walking (home),,Home,,,,,,,,,,,,,,,,,,
Fasi,11,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Family devotion,Walking (work),Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Family devotion,Going out,Going out,Going out,Going out,Going out,Going out,Going out,Home,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,Cooking,,,,,,,,,Showering,,,,,,,,,,
Kolofo'ou,45,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Dinner,Turning on appliances/lights,Mobile devices (games),Mobile devices (games),Mobile devices (games),Mobile devices (games),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,,Showering,,,,,,,,,,,,,,
Fasi,12,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Turning off appliances/Lights,Cooking,Cooking,Breakfast,Showering,Showering,Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Laundry,Laundry,Laundry,Laundry,Laundry,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Driving (gym),Laundry,Laundry,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Cooking,Dinner,Dinner,Feeding animals,Showering,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Listen to music/radio,Laundry,Laundry,Laundry,Laundry,,,,,,,,,,,,Rest,Rest,Rest,,,,,,Turning on appliances/lights,Showering (kids),Showering (kids),,Tidy up,Tidy up,,,,,,,,,,
Fasi,13,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Driving (gym),Driving (gym),Breakfast,Breakfast,Cooking (business),Cooking (business),Cooking (business),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Driving (order delivery),Tidy up,Tidy up,Tidy up,Lunch,Rest,Rest,Rest,Rest,Rest,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (gym),Home,Dinner,Dinner,Food prep (business),Food prep (business),Food prep (business),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,Showering,,,,,,,,,,,,
Fasi,14,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Showering,Ironing,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (work),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Cooking,Dinner,Dinner,Showering,Mobile device (movies),Reading,Reading,Reading,Reading,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Listen to music/radio,Getting dressed,Charging mobile devices,,,,,,,,,,,,,,,,,,,Home,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,,
